Kepolisian Daerah,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kalimantan Barat,04.40'37'',03.54'44'',04.19'17'',04.44'43'',03.17'44'',01.42'09'',01.00'00'',00.49'54'',00.46'39'',00.48'16'',1.01'07'',00.51'02'',00.50'57'',00.55'44'',01.05'32'',01.18'48'',"01.11'53""","01.27'18""","01.30'24""","01.51'19""","02.16'14""","02.09'50"""
Kalimantan Tengah,04.07'27'',04.08'58'',05.49'00'',03.55'41'',03.48'07'',02.53'41'',02.49'12'',02.51'00'',02.04'12'',02.07'48'',3.12'15'',01.32'30'',02.43'16'',02.56'11'',03.03'27'',03.16'02'',"02.21'35""","03.14'44""","01.32'13""","03.35'03""","03.19'55""","03.39'05"""
Kalimantan Selatan,02.43'59'',02.15'44'',02.29'21'',02.28'23'',02.31'22'',03.10'38'',02.32'24'',02.04'48'',01.37'12'',02.09'00'',4.35'11'',17.33'18'',02.35'52'',01.14'14'',01.27'51'',01.17'11'',"01.12'53""","01.19'54""","03.17'04""","01.37'47""","01.40'57""","01.45'41"""
Kalimantan Timur ,02.07'43'',02.14'29'',02.17'33'',01.39'50'',01.29'48'',01.17'32'',01.10'12'',00.57'39'',01.18'00'',01.13'12'',0.52'31'',00.55'41'',00.54'31'',00.56'48'',00.57'47'',00.59'58'',"00.59'04""","00.57'26""","01.23'36""","01.58'59""","02.25'38""","01.55'09"""
Kalimantan Utara 3, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,"22.17'16""","10.00'00""",22.7'16'',"09.01'17"""
Sulawesi Utara,00.58'46'',00.51'04'',00.44'02'',00.46'48'',01.08'24'',00.57'14'',00.53'33'',00.51'09'',00.51'34'',00.41'57'',1.00'21'',00.46'34'',01.17'07'',01.09'04'',01.25'16'',01.07'03'',"00.52'58""","01.05'51""","00.51'17""","01.10'47""","01.23'46""","01.24'34"""
Sulawesi Tengah,02.18'47'',01.52'38'',02.31'02'',02.15'25'',02.41'55'',01.46'30'',01.43'48'',01.23'24'',01.27'00'',01.13'12'',0.40'20'',01.15'04'',01.04'37'',01.07'15'',01.07'21'',00.58'28'',"00.54'44""","00.51'19""","00.56'02""","01.23'53""","01.36'22""","01.42'16"""
Sulawesi Selatan,01.08'36'',01.09'37'',01.17'58'',01.10'58'',00.52'23'',00.41'48'',00.36'58'',00.33'38'',00.32'07'',00.30'58'',0.33'18'',00.23'21'',00.28'55'',00.30'41'',00.35'12'',00.32'40'',"00.34'52""","00.24'18""","00.24'26""","00.32'50""","00.41'00""","00.35'54"""
Sulawesi Tenggara,4.11'50'',5.54'25'',6.55'29'',7.24'17'',05.14'21'',15.1'32'',08.41'24'',01.28'12'',01.25'12'',01.25'12'',1.24'50'',01.24'02'',01.13'20'',01.14'27'',01.39'28'',02.23'48'',"02.19'56""","03.03'23""","06.56'09""","07.13'18""","04.04'41""","03.36'12"""
Gorontalo 1,- ,- ,- ,- ,03.53'36'',03.16'02'',03.12'36'',01.58'48'',02.19'48'',02.13'48'',2.50'39'',03.21'59'',03.33'49'',02.20'43'',02.35'38'',02.35'52'',"02.19'40""","02.49'36""","03.05'19""","03.42'03""","03.28'44""","03.34'58"""
Sulawesi Barat 1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,"04.45'29""","04.49'16""","04.42'07""","05.08'27""","05.50'24"""
Maluku,25.41'20'',78.55'8'',16.16'57'',4.43'57'',07.38'38'',9.42'42'',08.25'48'',05.04'12'',03.43'48'',03.24'00'',2.11'16'',05.48'04'',05.04'31'',04.00'26'',03.39'32'',04.45'11'',"03.25'23""","02.50'19""","03.11'03""","02.30'23""","01.38'14""","02.47'26"""
Maluku Utara 1,- ,- ,- ,- ,- ,16.9'44'',09.55'12'',09.34'48'',12.22'12'',07.52'48'',4.34'19'',09.52'33'',09.27'36'',07.26'33'',07.47'36'',10.45'42'',"10.52'55""","11.06'09""","12.07'58""","12.12'02""",10.24'13'',"08.41'25"""
Papua Barat 1,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,06.27'36'',"02.48'17""","03.50'07""","02.31'15""","02.56'51""","02.46'13""","03.08'47"""
Papua,03.16'15'',03.28'24'',02.27'50'',02.22'17'',01.50'40'',01.37'34'',01.34'12'',01.52'12'',01.31'12'',01.25'12'',1.43'14'',01.14'33'',01.10'53'',01.00'43'',00.59'15'',01.13'03'',"01.04'51""","01.17'27""","01.11'53""","01.15'09""","01.15'29""","01.24'17"""
INDONESIA,00.03'02'',00.02'48'',00.02'51'',00.02'40'',00.02'22'',00.02'02'',00.01'45'',00.01'35'',00.01'35'',00.01'31',00.01'35'',00.01'31'',00.01'32'',00.01'32'',00.01'36'',00.01'29'',"00.01'28""","00.01'33""","00.01'47""","00.01'57""","00.02'07""","00.02'11"""
